,bus,control,capital_cost,p_nom_extendable,dispatch,p_nom,p_nom_opt,p_nom_max,efficiency,carrier,marginal_cost
AT onwind,AT,Slack,136428.031355,True,variable,0.0,7957.02563886,52477.1679084,1.0,onwind,0.015
AT solar,AT,PQ,76486.3103324,True,variable,0.0,28059.4337179,53356.2826808,1.0,solar,0.01
AT OCGT,AT,PQ,47234.5614044,True,flexible,0.0,1883.19083189,inf,0.39,OCGT,58.3846153846
AT ror,AT,PQ,0.0,False,variable,7827.87477323,7827.87477323,inf,1.0,ror,0.0
FI0 onwind,FI,Slack,136428.031355,True,variable,0.0,7466.91961728,45616.9297919,1.0,onwind,0.015
FI1 onwind,FI,PQ,136428.031355,True,variable,0.0,0.0114804339281,104388.176696,1.0,onwind,0.015
FI2 onwind,FI,PQ,136428.031355,True,variable,0.0,21318.9936902,105217.778265,1.0,onwind,0.015
FI offwind,FI,PQ,295041.156155,True,variable,0.0,0.00829357573232,69842.970039,1.0,offwind,0.02
FI solar,FI,PQ,76486.3103324,True,variable,0.0,9509.919325,30104.4651954,1.0,solar,0.01
FI OCGT,FI,PQ,47234.5614044,True,flexible,0.0,6814.72948819,inf,0.39,OCGT,58.3846153846
FI ror,FI,PQ,0.0,False,variable,2560.0,2560.0,inf,1.0,ror,0.0
NL onwind,NL,Slack,136428.031355,True,variable,0.0,13274.6903845,27852.9534683,1.0,onwind,0.015
NL offwind,NL,PQ,295041.156155,True,variable,0.0,13141.6348926,97134.7568533,1.0,offwind,0.02
NL solar,NL,PQ,76486.3103324,True,variable,0.0,31986.430808,39776.984225,1.0,solar,0.01
NL OCGT,NL,PQ,47234.5614044,True,flexible,0.0,2188.27758043,inf,0.39,OCGT,58.3846153846
NL ror,NL,PQ,0.0,False,variable,40.0,40.0,inf,1.0,ror,0.0
BA onwind,BA,Slack,136428.031355,True,variable,0.0,0.0258173186053,50921.7184467,1.0,onwind,0.015
BA solar,BA,PQ,76486.3103324,True,variable,0.0,8676.62819251,25036.080691,1.0,solar,0.01
BA OCGT,BA,PQ,47234.5614044,True,flexible,0.0,0.00565284837047,inf,0.39,OCGT,58.3846153846
BA ror,BA,PQ,0.0,False,variable,820.0,820.0,inf,1.0,ror,0.0
FR0 onwind,FR,Slack,136428.031355,True,variable,0.0,0.00579075110392,43569.1218573,1.0,onwind,0.015
FR1 onwind,FR,PQ,136428.031355,True,variable,0.0,0.00698290341366,81168.9280372,1.0,onwind,0.015
FR2 onwind,FR,PQ,136428.031355,True,variable,0.0,0.0090223670761,106764.280358,1.0,onwind,0.015
FR3 onwind,FR,PQ,136428.031355,True,variable,0.0,120019.50802,120019.509498,1.0,onwind,0.015
FR offwind,FR,PQ,295041.156155,True,variable,0.0,19099.0574085,52440.7346121,1.0,offwind,0.02
FR solar,FR,PQ,76486.3103324,True,variable,0.0,123411.394014,396490.695546,1.0,solar,0.01
FR OCGT,FR,PQ,47234.5614044,True,flexible,0.0,15102.3460497,inf,0.39,OCGT,58.3846153846
FR ror,FR,PQ,0.0,False,variable,14122.7428768,14122.7428768,inf,1.0,ror,0.0
NO0 onwind,NO,Slack,136428.031355,True,variable,0.0,0.00341174665858,44266.8732453,1.0,onwind,0.015
NO1 onwind,NO,PQ,136428.031355,True,variable,0.0,0.00302890229675,64706.049073,1.0,onwind,0.015
NO2 onwind,NO,PQ,136428.031355,True,variable,0.0,0.00290287422129,85672.7039587,1.0,onwind,0.015
NO offwind,NO,PQ,295041.156155,True,variable,0.0,0.00136033475604,65256.982421,1.0,offwind,0.02
NO solar,NO,PQ,76486.3103324,True,variable,0.0,0.00252365575061,128135.77152,1.0,solar,0.01
NO OCGT,NO,PQ,47234.5614044,True,flexible,0.0,0.00247593313636,inf,0.39,OCGT,58.3846153846
NO ror,NO,PQ,0.0,False,variable,2317.99733848,2317.99733848,inf,1.0,ror,0.0
BE onwind,BE,Slack,136428.031355,True,variable,0.0,18299.8110621,24161.9951718,1.0,onwind,0.015
BE offwind,BE,PQ,295041.156155,True,variable,0.0,3902.17598227,3902.17600053,1.0,offwind,0.02
BE solar,BE,PQ,76486.3103324,True,variable,0.0,32504.037422,32504.0376429,1.0,solar,0.01
BE OCGT,BE,PQ,47234.5614044,True,flexible,0.0,3640.39208887,inf,0.39,OCGT,58.3846153846
BE ror,BE,PQ,0.0,False,variable,142.0,142.0,inf,1.0,ror,0.0
GB0 onwind,GB,Slack,136428.031355,True,variable,0.0,0.0207359920457,72616.0284063,1.0,onwind,0.015
GB1 onwind,GB,PQ,136428.031355,True,variable,0.0,112702.76038,126070.735743,1.0,onwind,0.015
GB offwind,GB,PQ,295041.156155,True,variable,0.0,0.0274517743401,180446.507451,1.0,offwind,0.02
GB solar,GB,PQ,76486.3103324,True,variable,0.0,23515.9938235,212041.178578,1.0,solar,0.01
GB OCGT,GB,PQ,47234.5614044,True,flexible,0.0,17117.9002063,inf,0.39,OCGT,58.3846153846
GB ror,GB,PQ,0.0,False,variable,886.0,886.0,inf,1.0,ror,0.0
PL0 onwind,PL,Slack,136428.031355,True,variable,0.0,0.016042841505,48041.6990537,1.0,onwind,0.015
PL1 onwind,PL,PQ,136428.031355,True,variable,0.0,0.022035637924,88300.3370788,1.0,onwind,0.015
PL2 onwind,PL,PQ,136428.031355,True,variable,0.0,23081.2347944,82185.1687724,1.0,onwind,0.015
PL offwind,PL,PQ,295041.156155,True,variable,0.0,12772.931964,12772.9322259,1.0,offwind,0.02
PL solar,PL,PQ,76486.3103324,True,variable,0.0,54845.56804,241452.203044,1.0,solar,0.01
PL OCGT,PL,PQ,47234.5614044,True,flexible,0.0,6539.86168945,inf,0.39,OCGT,58.3846153846
PL ror,PL,PQ,0.0,False,variable,1663.48314597,1663.48314597,inf,1.0,ror,0.0
BG onwind,BG,Slack,136428.031355,True,variable,0.0,1390.46844566,56309.389011,1.0,onwind,0.015
BG offwind,BG,PQ,295041.156155,True,variable,0.0,0.28840124281,2730.87703188,1.0,offwind,0.02
BG solar,BG,PQ,76486.3103324,True,variable,0.0,26248.8612745,62957.8920825,1.0,solar,0.01
BG OCGT,BG,PQ,47234.5614044,True,flexible,0.0,2006.81000434,inf,0.39,OCGT,58.3846153846
BG ror,BG,PQ,0.0,False,variable,939.0,939.0,inf,1.0,ror,0.0
GR onwind,GR,Slack,136428.031355,True,variable,0.0,0.0100515150879,33247.8987692,1.0,onwind,0.015
GR offwind,GR,PQ,295041.156155,True,variable,0.0,7358.37504193,42776.7669249,1.0,offwind,0.02
GR solar,GR,PQ,76486.3103324,True,variable,0.0,21037.2440636,56126.4740752,1.0,solar,0.01
GR OCGT,GR,PQ,47234.5614044,True,flexible,0.0,1148.30177751,inf,0.39,OCGT,58.3846153846
GR ror,GR,PQ,0.0,False,variable,648.0,648.0,inf,1.0,ror,0.0
PT onwind,PT,Slack,136428.031355,True,variable,0.0,2360.66295478,48246.9545252,1.0,onwind,0.015
PT offwind,PT,PQ,295041.156155,True,variable,0.0,0.00435390172801,8100.28978217,1.0,offwind,0.02
PT solar,PT,PQ,76486.3103324,True,variable,0.0,31222.598253,38644.945722,1.0,solar,0.01
PT OCGT,PT,PQ,47234.5614044,True,flexible,0.0,1534.34212663,inf,0.39,OCGT,58.3846153846
PT ror,PT,PQ,0.0,False,variable,3859.54246907,3859.54246907,inf,1.0,ror,0.0
CH onwind,CH,Slack,136428.031355,True,variable,0.0,0.00503996131322,40009.1368411,1.0,onwind,0.015
CH solar,CH,PQ,76486.3103324,True,variable,0.0,15581.4713554,33191.2030811,1.0,solar,0.01
CH OCGT,CH,PQ,47234.5614044,True,flexible,0.0,0.00253174326532,inf,0.39,OCGT,58.3846153846
CH ror,CH,PQ,0.0,False,variable,507.22601419,507.22601419,inf,1.0,ror,0.0
HR onwind,HR,Slack,136428.031355,True,variable,0.0,2202.54927979,26191.7407385,1.0,onwind,0.015
HR offwind,HR,PQ,295041.156155,True,variable,0.0,0.0137803894342,18674.160291,1.0,offwind,0.02
HR solar,HR,PQ,76486.3103324,True,variable,0.0,11764.2971664,24763.9061429,1.0,solar,0.01
HR OCGT,HR,PQ,47234.5614044,True,flexible,0.0,129.81400228,inf,0.39,OCGT,58.3846153846
HR ror,HR,PQ,0.0,False,variable,800.0,800.0,inf,1.0,ror,0.0
RO0 onwind,RO,Slack,136428.031355,True,variable,0.0,0.00487761931546,31316.9832275,1.0,onwind,0.015
RO1 onwind,RO,PQ,136428.031355,True,variable,0.0,0.0140296387895,110850.902559,1.0,onwind,0.015
RO offwind,RO,PQ,295041.156155,True,variable,0.0,3910.60407001,12769.4118953,1.0,offwind,0.02
RO solar,RO,PQ,76486.3103324,True,variable,0.0,31220.1926934,185750.85085,1.0,solar,0.01
RO OCGT,RO,PQ,47234.5614044,True,flexible,0.0,0.00330834321595,inf,0.39,OCGT,58.3846153846
RO ror,RO,PQ,0.0,False,variable,2703.01391007,2703.01391007,inf,1.0,ror,0.0
CZ onwind,CZ,Slack,136428.031355,True,variable,0.0,13229.2450585,83190.1068189,1.0,onwind,0.015
CZ solar,CZ,PQ,76486.3103324,True,variable,0.0,37333.5695819,60884.8108445,1.0,solar,0.01
CZ OCGT,CZ,PQ,47234.5614044,True,flexible,0.0,2811.98432142,inf,0.39,OCGT,58.3846153846
CZ ror,CZ,PQ,0.0,False,variable,221.0,221.0,inf,1.0,ror,0.0
HU onwind,HU,Slack,136428.031355,True,variable,0.0,4874.93723823,78289.8281731,1.0,onwind,0.015
HU solar,HU,PQ,76486.3103324,True,variable,0.0,27098.0101904,94185.2429926,1.0,solar,0.01
HU OCGT,HU,PQ,47234.5614044,True,flexible,0.0,2988.45280735,inf,0.39,OCGT,58.3846153846
HU ror,HU,PQ,0.0,False,variable,30.526315788,30.526315788,inf,1.0,ror,0.0
RS onwind,RS,Slack,136428.031355,True,variable,0.0,0.0110876765694,88984.8799134,1.0,onwind,0.015
RS solar,RS,PQ,76486.3103324,True,variable,0.0,24620.7481288,58296.5504528,1.0,solar,0.01
RS OCGT,RS,PQ,47234.5614044,True,flexible,0.0,3940.89102722,inf,0.39,OCGT,58.3846153846
RS ror,RS,PQ,0.0,False,variable,1749.7264437,1749.7264437,inf,1.0,ror,0.0
DE0 onwind,DE,Slack,136428.031355,True,variable,0.0,0.00767626915986,48167.1178737,1.0,onwind,0.015
DE1 onwind,DE,PQ,136428.031355,True,variable,0.0,0.00929403900304,88506.374424,1.0,onwind,0.015
DE2 onwind,DE,PQ,136428.031355,True,variable,0.0,35796.9298721,102391.237219,1.0,onwind,0.015
DE offwind,DE,PQ,295041.156155,True,variable,0.0,54056.4117607,54056.4129555,1.0,offwind,0.02
DE solar,DE,PQ,76486.3103324,True,variable,0.0,141734.63746,289068.847367,1.0,solar,0.01
DE OCGT,DE,PQ,47234.5614044,True,flexible,0.0,13732.3061237,inf,0.39,OCGT,58.3846153846
DE ror,DE,PQ,0.0,False,variable,9992.86767571,9992.86767571,inf,1.0,ror,0.0
IE onwind,IE,Slack,136428.031355,True,variable,0.0,7487.75335231,56771.7314682,1.0,onwind,0.015
IE offwind,IE,PQ,295041.156155,True,variable,0.0,0.00325576767286,22268.6923413,1.0,offwind,0.02
IE solar,IE,PQ,76486.3103324,True,variable,0.0,4456.0324409,54733.9027986,1.0,solar,0.01
IE OCGT,IE,PQ,47234.5614044,True,flexible,0.0,1890.98552511,inf,0.39,OCGT,58.3846153846
IE ror,IE,PQ,0.0,False,variable,106.0,106.0,inf,1.0,ror,0.0
SE0 onwind,SE,Slack,136428.031355,True,variable,0.0,0.0119639290572,29240.6923556,1.0,onwind,0.015
SE1 onwind,SE,PQ,136428.031355,True,variable,0.0,0.010932317872,75816.758933,1.0,onwind,0.015
SE2 onwind,SE,PQ,136428.031355,True,variable,0.0,0.00980501510831,107551.822846,1.0,onwind,0.015
SE3 onwind,SE,PQ,136428.031355,True,variable,0.0,22696.6226849,132522.987771,1.0,onwind,0.015
SE offwind,SE,PQ,295041.156155,True,variable,0.0,0.00309760407952,111678.574219,1.0,offwind,0.02
SE solar,SE,PQ,76486.3103324,True,variable,0.0,0.00827905978555,60257.9665422,1.0,solar,0.01
SE OCGT,SE,PQ,47234.5614044,True,flexible,0.0,10769.7483553,inf,0.39,OCGT,58.3846153846
SE ror,SE,PQ,0.0,False,variable,6564.0,6564.0,inf,1.0,ror,0.0
DK onwind,DK,Slack,136428.031355,True,variable,0.0,12009.6900915,40474.0201608,1.0,onwind,0.015
DK offwind,DK,PQ,295041.156155,True,variable,0.0,0.00301368766525,106731.977939,1.0,offwind,0.02
DK solar,DK,PQ,76486.3103324,True,variable,0.0,600.791589546,42610.8250802,1.0,solar,0.01
DK OCGT,DK,PQ,47234.5614044,True,flexible,0.0,1263.9122617,inf,0.39,OCGT,58.3846153846
IT0 onwind,IT,Slack,136428.031355,True,variable,0.0,0.0047550911347,23384.262049,1.0,onwind,0.015
IT1 onwind,IT,PQ,136428.031355,True,variable,0.0,0.00710811903919,67457.003236,1.0,onwind,0.015
IT2 onwind,IT,PQ,136428.031355,True,variable,0.0,42194.0707529,71072.6451897,1.0,onwind,0.015
IT offwind,IT,PQ,295041.156155,True,variable,0.0,0.0033631542994,42004.716364,1.0,offwind,0.02
IT solar,IT,PQ,76486.3103324,True,variable,0.0,201161.123072,201161.125434,1.0,solar,0.01
IT OCGT,IT,PQ,47234.5614044,True,flexible,0.0,4623.96059779,inf,0.39,OCGT,58.3846153846
IT ror,IT,PQ,0.0,False,variable,8752.0,8752.0,inf,1.0,ror,0.0
SI onwind,SI,Slack,136428.031355,True,variable,0.0,0.00640576773758,11210.9090865,1.0,onwind,0.015
SI solar,SI,PQ,76486.3103324,True,variable,0.0,7498.29448588,7498.2945251,1.0,solar,0.01
SI OCGT,SI,PQ,47234.5614044,True,flexible,0.0,500.288688628,inf,0.39,OCGT,58.3846153846
SI ror,SI,PQ,0.0,False,variable,500.0,500.0,inf,1.0,ror,0.0
ES0 onwind,ES,Slack,136428.031355,True,variable,0.0,0.00513609670927,37083.6019453,1.0,onwind,0.015
ES1 onwind,ES,PQ,136428.031355,True,variable,0.0,0.00601754900847,86839.3382404,1.0,onwind,0.015
ES2 onwind,ES,PQ,136428.031355,True,variable,0.0,0.00864636492113,78556.6936336,1.0,onwind,0.015
ES3 onwind,ES,PQ,136428.031355,True,variable,0.0,36138.7222882,93189.2333087,1.0,onwind,0.015
ES offwind,ES,PQ,295041.156155,True,variable,0.0,0.00390758508887,16168.535086,1.0,offwind,0.02
ES solar,ES,PQ,76486.3103324,True,variable,0.0,153935.151461,313481.541765,1.0,solar,0.01
ES OCGT,ES,PQ,47234.5614044,True,flexible,0.0,0.00287067145016,inf,0.39,OCGT,58.3846153846
ES ror,ES,PQ,0.0,False,variable,1044.35190926,1044.35190926,inf,1.0,ror,0.0
LU onwind,LU,Slack,136428.031355,True,variable,0.0,1767.02101827,3785.23091705,1.0,onwind,0.015
LU solar,LU,PQ,76486.3103324,True,variable,0.0,2465.33723667,2465.33728361,1.0,solar,0.01
LU OCGT,LU,PQ,47234.5614044,True,flexible,0.0,514.170876371,inf,0.39,OCGT,58.3846153846
SK onwind,SK,Slack,136428.031355,True,variable,0.0,2454.68007712,28992.8511218,1.0,onwind,0.015
SK solar,SK,PQ,76486.3103324,True,variable,0.0,18376.3781132,28299.5866268,1.0,solar,0.01
SK OCGT,SK,PQ,47234.5614044,True,flexible,0.0,2459.3222494,inf,0.39,OCGT,58.3846153846
SK ror,SK,PQ,0.0,False,variable,2520.0,2520.0,inf,1.0,ror,0.0
EE onwind,EE,Slack,136428.031355,True,variable,0.0,2634.56713003,36332.6363412,1.0,onwind,0.015
EE offwind,EE,PQ,295041.156155,True,variable,0.0,0.0104380890562,20260.117045,1.0,offwind,0.02
EE solar,EE,PQ,76486.3103324,True,variable,0.0,1940.53030118,16945.2028719,1.0,solar,0.01
EE OCGT,EE,PQ,47234.5614044,True,flexible,0.0,618.966199783,inf,0.39,OCGT,58.3846153846
LV onwind,LV,Slack,136428.031355,True,variable,0.0,1490.29177389,57263.7166119,1.0,onwind,0.015
LV offwind,LV,PQ,295041.156155,True,variable,0.0,0.0131442337938,17851.2780821,1.0,offwind,0.02
LV solar,LV,PQ,76486.3103324,True,variable,0.0,1191.02650761,33978.6424987,1.0,solar,0.01
LV OCGT,LV,PQ,47234.5614044,True,flexible,0.0,344.88552279,inf,0.39,OCGT,58.3846153846
LV ror,LV,PQ,0.0,False,variable,1580.0,1580.0,inf,1.0,ror,0.0
LT onwind,LT,Slack,136428.031355,True,variable,0.0,1565.42586722,46984.150817,1.0,onwind,0.015
LT offwind,LT,PQ,295041.156155,True,variable,0.0,1001.78299118,4613.55480661,1.0,offwind,0.02
LT solar,LT,PQ,76486.3103324,True,variable,0.0,3480.99014105,50203.039979,1.0,solar,0.01
LT OCGT,LT,PQ,47234.5614044,True,flexible,0.0,217.054749816,inf,0.39,OCGT,58.3846153846
LT ror,LT,PQ,0.0,False,variable,352.0,352.0,inf,1.0,ror,0.0
